unit,naive,naive_yrs,factors,factors_gdp,factors_yrs,naive_log,naive_yrs_log,factors_log,factors_gdp_log,factors_yrs_log,naive_diff,factors_diff,factors_gdp_diff
LBR,.0040000002,.02,.292,.1,.155,.012,.02,.043000001,.064000003,.039000001,.0070000002,.0060000001,.0049999999
LKA,.003,.0020000001,.0040000002,.0049999999,,.0060000001,.0040000002,.003,.0049999999,,.0070000002,.0049999999,.003
LSO,.0040000002,.0040000002,,.18099999,,.0070000002,.0060000001,.123,.02,,.0070000002,.0060000001,.0049999999
LTU,.0020000001,.001,.001,.001,,.0040000002,.0020000001,.003,.003,,.0060000001,.0040000002,.0020000001
LUX,.001,.001,.001,.001,,.003,.0020000001,.0040000002,.003,,.0060000001,.0049999999,.0020000001
LVA,.0020000001,.001,.001,.001,,.0040000002,.0020000001,.003,.0040000002,,.0070000002,.0040000002,.0020000001
MAC,.001,.001,.001,.001,,.0040000002,.0020000001,.0040000002,.003,,.0049999999,.0049999999,.003
MAR,.003,.003,.0040000002,.0020000001,,.0060000001,.0060000001,.0089999996,.0049999999,,.0070000002,.0060000001,.0060000001
MDA,.003,.0020000001,.0020000001,.0099999998,.059,.0060000001,.0040000002,.003,.0049999999,.083999999,.0070000002,.003,.003
MDG,.0040000002,.0020000001,.0060000001,.0060000001,,.0089999996,.0070000002,.0040000002,.0049999999,,.0070000002,.0060000001,.0080000004
MDV,.0020000001,.001,.003,.0020000001,,.0049999999,.003,.0049999999,.0040000002,,.0060000001,.227,.113
MEX,.0020000001,.001,.0020000001,.001,,.0040000002,.003,.0049999999,.0040000002,,.0070000002,.0060000001,.0040000002
MLI,,.0060000001,.039999999,.199,,.028999999,.0080000004,.0080000004,.015,,.0070000002,.0070000002,.016000001
MLT,.0020000001,.0020000001,.0020000001,.001,,.0049999999,.0049999999,.003,.0040000002,,.0060000001,.0049999999,.003
MMR,.0020000001,.0040000002,.021,.017999999,,.018999999,.0070000002,.0040000002,.0089999996,,.0070000002,.0060000001,.0060000001
MNG,.003,.0020000001,.0020000001,.0080000004,,.0060000001,.0040000002,.0040000002,.0070000002,,.0070000002,.0040000002,.0020000001
MOZ,,.001,.015,,,.024,.0089999996,.0060000001,.011,,.0070000002,.0089999996,.028999999
MRT,.003,.0020000001,.0020000001,.0020000001,,.0060000001,.0040000002,.013,.0070000002,.107,.0070000002,.0060000001,.0070000002
MUS,.0020000001,.0020000001,.003,.001,,.0049999999,.0040000002,.0049999999,.0040000002,.197,.0070000002,.0060000001,.0040000002
MWI,.003,.003,.023,.023,,.013,.0099999998,.003,.0070000002,,.0070000002,.0070000002,.0089999996
MYS,.0020000001,.0020000001,.0020000001,.001,,.0049999999,.0040000002,.0040000002,.0040000002,,.0070000002,.0040000002,.003
NAM,.0020000001,.0020000001,.003,.0020000001,,.0049999999,.003,.0049999999,.0049999999,,.0070000002,.0049999999,.0049999999
NER,.0040000002,.001,.0040000002,.003,,.0089999996,.0089999996,.093000002,.0060000001,,.0070000002,.0080000004,.025
NGA,.0040000002,.0020000001,.0020000001,.003,,.0080000004,.003,.015,.024,,.0070000002,.0049999999,.0049999999
